Station Name,Region,Sub Region,State,Year,Total Days
PHILADELPHIA INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2017,26
WICHITA EISENHOWER NATIONAL,MIDWEST,WEST NORTH CENTRAL,KS,2017,26
FAIRBANKS INTERNATIONAL,WEST,PACIFIC,AK,2017,25
HARRISBURG INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2017,25
KANSAS CITY INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,MO,2017,24
FORT WAYNE INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IN,2017,23
LAMBERT-ST LOUIS INTERNATIONAL AP,MIDWEST,WEST NORTH CENTRAL,MO,2017,23
J.M.COX DAYTON INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,OH,2017,22
PORT COLUMBUS INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,OH,2017,22
SEATTLE-TACOMA INTERNATIONAL AIRPORT,WEST,PACIFIC,WA,2017,22
ABRAHAM LINCOLN CAPITAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IL,2017,21
ANDREWS AIR FORCE BASE AIRPORT,SOUTH,SOUTH ATLANTIC,MD,2017,21
BALTIMORE-WASHINGTON INTL AIRPORT,SOUTH,SOUTH ATLANTIC,MD,2017,21
CINCINNATI/NORTHERN KENTUCKY INTL AP,SOUTH,EAST SOUTH CENTRAL,KY,2017,21
PITTSBURGH INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2017,21
PORTLAND INTERNATIONAL AIRPORT,WEST,PACIFIC,OR,2017,21
RONALD REAGAN WASHINGTON NATL AP,SOUTH,SOUTH ATLANTIC,VA,2017,21
TULSA INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,OK,2017,21
INDIANAPOLIS INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IN,2017,20
SPOKANE INTERNATIONAL AIRPORT,WEST,PACIFIC,WA,2017,20
WASHINGTON DULLES INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,VA,2017,20
YEAGER AIRPORT,SOUTH,SOUTH ATLANTIC,WV,2017,20
SALT LAKE CITY INTERNATIONAL AIRPORT,WEST,MOUNTAIN,UT,2017,19
LOUISVILLE INTL-STANDIFORD FIELD AP,SOUTH,EAST SOUTH CENTRAL,KY,2017,18
NWPT NEWS/WIMBURG INTL APT,SOUTH,SOUTH ATLANTIC,VA,2017,18
NORFOLK INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,VA,2017,17
RICHMOND INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,VA,2017,17
CHARLOTTESVILLE ALBEMARLE ARPT,SOUTH,SOUTH ATLANTIC,VA,2017,16
BOISE AIR TERMINAL/GOWEN FD AIRPORT,WEST,MOUNTAIN,ID,2017,14
RALEIGH-DURHAM INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,NC,2017,14
WILL ROGERS WORLD AIRPORT,SOUTH,WEST SOUTH CENTRAL,OK,2017,14
EL PASO INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2017,13
RENO/TAHOE INTERNATIONAL AIRPORT,WEST,MOUNTAIN,NV,2017,12
